time,NorESM2-MM_r1i1p1f1_ssp585,NorESM2-MM_r1i1p1f1_ssp370,NorESM2-MM_r1i1p1f1_ssp245,NorESM2-MM_r2i1p1f1_ssp245,CESM2_r10i1p1f1_ssp585,CESM2_r10i1p1f1_ssp370,CESM2_r10i1p1f1_ssp245,CESM2_r11i1p1f1_ssp585,CESM2_r11i1p1f1_ssp370,CESM2_r11i1p1f1_ssp245,CESM2_r4i1p1f1_ssp585,CESM2_r4i1p1f1_ssp370,CESM2_r4i1p1f1_ssp245,CESM2-LENS_r10i1181p1f1_ssp370,CESM2-LENS_r1i1001p1f1_ssp370,CESM2-LENS_r2i1021p1f1_ssp370,CESM2-LENS_r3i1041p1f1_ssp370,CESM2-LENS_r4i1061p1f1_ssp370,CESM2-LENS_r5i1081p1f1_ssp370,CESM2-LENS_r6i1101p1f1_ssp370,CESM2-LENS_r7i1121p1f1_ssp370,CESM2-LENS_r8i1141p1f1_ssp370,CESM2-LENS_r9i1161p1f1_ssp370
1984-01-16 12:00:00,0.15714102301083652,0.15714102301083652,0.15714102301083652,0.34001877484242987,0.4294546047628065,0.4294546047628065,0.4294546047628065,0.2919652822862311,0.2919652822862311,0.2919652822862311,0.5371244170722846,0.5371244170722846,0.5371244170722846,0.32892289147555354,0.4341679449277793,0.2354636662480471,0.3542265800627014,0.2299725972732792,0.46348675396069344,0.30035203449422787,0.4658288520617099,0.19117164407267662,0.500104194609843
1984-02-15 00:00:00,0.1593438058251505,0.1593438058251505,0.1593438058251505,0.3397088792110869,0.43287524791587845,0.43287524791587845,0.43287524791587845,0.29127654565315403,0.29127654565315403,0.29127654565315403,0.539354006069748,0.539354006069748,0.539354006069748,0.3297979290566121,0.43530480189333454,0.2353652985310582,0.357045876980924,0.2320158021814997,0.46165901255684644,0.3037131573113579,0.47096041471015726,0.19260202515349104,0.5018330274299724
1984-03-16 12:00:00,0.16154092449831978,0.16154092449831978,0.16154092449831978,0.3407574866278585,0.43643733731239415,0.43643733731239415,0.43643733731239415,0.2909092049123193,0.2909092049123193,0.2909092049123193,0.5404453066327987,0.5404453066327987,0.5404453066327987,0.33215848242346363,0.4369127020370513,0.23635486212335455,0.3568897858364058,0.23259049318380723,0.4615516656055659,0.30725082962658923,0.47554958493953736,0.19396622068893687,0.4999562275370259
1984-04-16 00:00:00,0.16435654702968114,0.16435654702968114,0.16435654702968114,0.3423136459148525,0.4399396048595065,0.4399396048595065,0.4399396048595065,0.28990303043293364,0.28990303043293364,0.28990303043293364,0.5418973501169743,0.5418973501169743,0.5418973501169743,0.33386494954595325,0.4389954789024043,0.2367238390213127,0.3598136696729159,0.23498622562285904,0.4615987470991693,0.3104152266049461,0.4774056217623108,0.1956008478352589,0.49874386964244904
1984-05-16 12:00:00,0.1666822313441841,0.1666822313441841,0.1666822313441841,0.3434610107970298,0.4419803321517082,0.4419803321517082,0.4419803321517082,0.289028524609761,0.289028524609761,0.289028524609761,0.5424341591353244,0.5424341591353244,0.5424341591353244,0.33616481704022616,0.4403991433779735,0.23686291296397666,0.36173160233270635,0.23655734930795683,0.4615641207675035,0.3127820486331513,0.48087562286078006,0.1980642260504832,0.4974447534276808
1984-06-16 00:00:00,0.16794078212684055,0.16794078212684055,0.16794078212684055,0.3453686949622688,0.4456582457117259,0.4456582457117259,0.4456582457117259,0.2898697154402716,0.2898697154402716,0.2898697154402716,0.5426238593044223,0.5426238593044223,0.5426238593044223,0.33586045241140333,0.4419725677835783,0.23740508744248814,0.3614878172220254,0.2369316614419811,0.4624314184790277,0.3154150156011253,0.4816749752569881,0.1990917415655017,0.4968919029809373
1984-07-16 12:00:00,0.16924743457016783,0.16924743457016783,0.16924743457016783,0.3474052854360932,0.44848544220188014,0.44848544220188014,0.44848544220188014,0.29054622710322986,0.29054622710322986,0.29054622710322986,0.542323330208567,0.542323330208567,0.542323330208567,0.33699838141823996,0.4429216406445233,0.23817056467417075,0.36276543191413213,0.23780075618539817,0.4626001884989781,0.3175367511535337,0.4847168114259996,0.20089274063378018,0.4973165039547967
1984-08-16 12:00:00,0.17108962002537234,0.17108962002537234,0.17108962002537234,0.35006774835644144,0.45143161371152113,0.45143161371152113,0.45143161371152113,0.2916657136057538,0.2916657136057538,0.2916657136057538,0.5440451714853796,0.5440451714853796,0.5440451714853796,0.33780273616708384,0.44429990974606665,0.23918559085453192,0.36351110510495227,0.2393746722206553,0.4634121890260623,0.319440517469198,0.48808329917554566,0.2023580164613122,0.49708791031821564
1984-09-16 00:00:00,0.17354717068038686,0.17354717068038686,0.17354717068038686,0.351836669024545,0.4540684013810536,0.4540684013810536,0.4540684013810536,0.2930853930935205,0.2930853930935205,0.2930853930935205,0.5454610338985247,0.5454610338985247,0.5454610338985247,0.33862034920257594,0.4462290638437743,0.23993436584497185,0.36438052204398325,0.24087689868623224,0.4636580950458537,0.3209117885048007,0.4905398209479403,0.2049473048935539,0.49695520932697146
1984-10-16 12:00:00,0.17464883341342366,0.17464883341342366,0.17464883341342366,0.35328984554326726,0.45609289998478936,0.45609289998478936,0.45609289998478936,0.29323495663437504,0.29323495663437504,0.29323495663437504,0.5473258095633227,0.5473258095633227,0.5473258095633227,0.339765276472311,0.4481201169229597,0.24073625805061408,0.3639978074746838,0.2420684658557678,0.4641984425486309,0.3225491697229842,0.4933315477487724,0.20641720228229563,0.4967632031530364
