GCM,run,scenario,Unnamed: 0,0.8,1.0,1.2,1.5,2.0,2.5,3.0,4.0
BCC-CSM2-MR,r1i1p1f1,ssp585,72,2009-03-16 12:00:00,2015-06-16 00:00:00,2020-05-16 12:00:00,2028-04-16 00:00:00,2040-04-16 00:00:00,2050-11-16 00:00:00,2061-02-15 00:00:00,2085-11-16 00:00:00
BCC-CSM2-MR,r1i1p1f1,ssp370,73,2009-01-16 12:00:00,2016-04-16 00:00:00,2021-10-16 12:00:00,2030-03-16 12:00:00,2043-04-16 00:00:00,2055-12-16 12:00:00,2069-02-15 00:00:00,
BCC-CSM2-MR,r1i1p1f1,ssp245,74,2009-01-16 12:00:00,2016-11-16 00:00:00,2022-08-16 12:00:00,2032-11-16 00:00:00,2051-03-16 12:00:00,2082-12-16 12:00:00,,
BCC-ESM1,r3i1p1f1,ssp370,75,2013-01-16 12:00:00,2021-08-16 12:00:00,2032-04-16 00:00:00,2040-08-16 12:00:00,,,,
BCC-ESM1,r1i1p1f1,ssp370,76,2014-03-16 12:00:00,2020-04-16 00:00:00,2026-07-16 12:00:00,2038-12-16 12:00:00,,,,
BCC-ESM1,r2i1p1f1,ssp370,77,2010-08-16 12:00:00,2018-03-16 12:00:00,2026-09-16 00:00:00,2037-01-16 12:00:00,,,,
CAMS-CSM1-0,r1i1p1f1,ssp585,78,2012-03-16 12:00:00,2021-05-16 12:00:00,2027-11-16 00:00:00,2042-08-16 12:00:00,2058-03-16 12:00:00,2072-06-16 00:00:00,2084-09-16 00:00:00,
CAMS-CSM1-0,r1i1p1f1,ssp370,79,2013-06-16 00:00:00,2023-01-16 12:00:00,2031-11-16 00:00:00,2045-03-16 12:00:00,2063-01-16 12:00:00,2080-07-16 12:00:00,,
CAMS-CSM1-0,r1i1p1f1,ssp245,80,2011-12-16 12:00:00,2025-12-16 12:00:00,2038-07-16 12:00:00,2049-06-16 00:00:00,2077-10-16 12:00:00,,,
CAMS-CSM1-0,r2i1p1f1,ssp585,81,2012-03-16 12:00:00,2027-12-16 12:00:00,2037-01-16 12:00:00,2045-03-16 12:00:00,2061-01-16 12:00:00,2073-11-16 00:00:00,2084-12-16 12:00:00,
CAMS-CSM1-0,r2i1p1f1,ssp370,82,2012-11-16 00:00:00,2028-08-16 12:00:00,2036-09-16 00:00:00,2044-08-16 12:00:00,2061-09-16 00:00:00,2081-04-16 00:00:00,,
CAMS-CSM1-0,r2i1p1f1,ssp245,83,2012-09-16 00:00:00,2022-02-15 00:00:00,2035-02-15 00:00:00,2052-05-16 12:00:00,2081-11-16 00:00:00,,,
CAS-ESM2-0,r3i1p1f1,ssp585,84,2014-10-16 12:00:00,2020-09-16 00:00:00,2026-09-16 00:00:00,2033-01-16 12:00:00,2043-01-16 12:00:00,2051-10-16 12:00:00,2060-06-16 00:00:00,2075-10-16 12:00:00
CAS-ESM2-0,r3i1p1f1,ssp370,85,2014-10-16 12:00:00,2021-08-16 12:00:00,2030-09-16 00:00:00,2040-05-16 12:00:00,2051-06-16 00:00:00,2061-10-16 12:00:00,2072-12-16 12:00:00,
CAS-ESM2-0,r3i1p1f1,ssp245,86,2013-10-16 12:00:00,2021-02-15 00:00:00,2028-01-16 12:00:00,2038-03-16 12:00:00,2051-03-16 12:00:00,2064-06-16 00:00:00,2078-07-16 12:00:00,
CAS-ESM2-0,r1i1p1f1,ssp585,87,2010-02-15 00:00:00,2016-07-16 12:00:00,2021-02-15 00:00:00,2030-08-16 12:00:00,2042-05-16 12:00:00,2050-11-16 00:00:00,2059-02-15 00:00:00,2073-11-16 00:00:00
CAS-ESM2-0,r1i1p1f1,ssp370,88,2010-08-16 12:00:00,2019-01-16 12:00:00,2028-04-16 00:00:00,2037-11-16 00:00:00,2049-08-16 12:00:00,2060-04-16 00:00:00,2070-10-16 12:00:00,2090-11-16 00:00:00
