GCM,run,scenario,1.5,2.0,2.5,3.0,4.0
CAS-ESM2-0,r1i1p1f1,ssp370,2046-03-16 12:00:00,2057-01-16 12:00:00,2067-09-16 00:00:00,2077-04-16 00:00:00,
CAS-ESM2-0,r1i1p1f1,ssp245,2045-02-15 00:00:00,2056-10-16 12:00:00,2069-12-16 12:00:00,2086-02-15 00:00:00,
CESM2,r4i1p1f1,ssp585,2037-08-15 12:00:00,2047-07-15 12:00:00,2056-02-14 00:00:00,2064-03-15 12:00:00,2078-02-14 00:00:00
CESM2,r4i1p1f1,ssp370,2045-02-14 00:00:00,2057-03-15 12:00:00,2070-04-15 00:00:00,2079-08-15 12:00:00,
CESM2,r4i1p1f1,ssp245,2046-02-14 00:00:00,2064-08-15 12:00:00,2081-03-15 12:00:00,,
CESM2,r11i1p1f1,ssp585,2036-08-15 12:00:00,2046-07-15 12:00:00,2054-07-15 12:00:00,2062-05-15 12:00:00,2076-12-15 12:00:00
CESM2,r11i1p1f1,ssp370,2044-06-15 00:00:00,2055-09-15 00:00:00,2067-09-15 00:00:00,2078-03-15 12:00:00,
CESM2,r11i1p1f1,ssp245,2040-08-15 12:00:00,2061-03-15 12:00:00,2078-10-15 12:00:00,,
CESM2,r10i1p1f1,ssp585,2037-10-15 12:00:00,2046-10-15 12:00:00,2055-06-15 00:00:00,2063-09-15 00:00:00,2077-02-14 00:00:00
CESM2,r10i1p1f1,ssp370,2046-08-15 12:00:00,2060-01-15 12:00:00,2071-02-14 00:00:00,2080-09-15 00:00:00,
CESM2,r10i1p1f1,ssp245,2045-08-15 12:00:00,2062-06-15 00:00:00,2082-02-14 00:00:00,,
CESM2-WACCM,r3i1p1f1,ssp585,2039-04-15 00:00:00,2048-06-15 00:00:00,2056-11-15 00:00:00,2065-03-15 12:00:00,2078-08-15 12:00:00
CESM2-WACCM,r3i1p1f1,ssp370,2045-06-15 00:00:00,,,,
CESM2-WACCM,r3i1p1f1,ssp245,2043-03-15 12:00:00,2059-02-14 00:00:00,2081-04-15 00:00:00,,
CESM2-WACCM,r1i1p1f1,ssp585,2035-12-15 12:00:00,2045-03-15 12:00:00,2054-02-14 00:00:00,2061-07-15 12:00:00,2074-05-15 12:00:00
CESM2-WACCM,r1i1p1f1,ssp370,2043-04-15 00:00:00,2054-05-15 12:00:00,2064-01-15 12:00:00,2074-05-15 12:00:00,
CESM2-WACCM,r1i1p1f1,ssp245,2041-05-15 12:00:00,2057-08-15 12:00:00,2076-04-15 00:00:00,,
CESM2-WACCM,r2i1p1f1,ssp585,2035-02-14 00:00:00,2046-06-15 00:00:00,2055-08-15 12:00:00,2063-02-14 00:00:00,2076-07-15 12:00:00
CESM2-WACCM,r2i1p1f1,ssp370,,,,,
CESM2-WACCM,r2i1p1f1,ssp245,2047-02-14 00:00:00,2062-05-15 12:00:00,2079-01-15 12:00:00,,
CIESM,r1i1p1f1,ssp585,2040-08-16 12:00:00,2048-05-16 12:00:00,2055-02-15 00:00:00,2061-03-16 12:00:00,2072-11-16 00:00:00
CIESM,r1i1p1f1,ssp245,2042-08-16 12:00:00,2059-01-16 12:00:00,2078-04-16 00:00:00,,
CMCC-CM2-SR5,r1i1p1f1,ssp585,2038-04-16 00:00:00,2046-10-16 12:00:00,2055-12-16 12:00:00,2063-05-16 12:00:00,2079-10-16 12:00:00
CMCC-CM2-SR5,r1i1p1f1,ssp370,2043-12-16 12:00:00,2055-05-16 12:00:00,2068-03-16 12:00:00,2079-11-16 00:00:00,
CMCC-CM2-SR5,r1i1p1f1,ssp245,2044-11-16 00:00:00,2056-12-16 12:00:00,2071-04-16 00:00:00,2090-01-16 12:00:00,
