era-id,latitude,longitude,elevation,start-date,end-date,network,total_nobs
ASOSAWOS_72295503174,33.803,-118.34,29.5656,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,80974
ASOSAWOS_72295603167,33.924,-118.333,16.764,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,186816
ASOSAWOS_72297023129,33.812,-118.147,10.3632,1943-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,465712
ASOSAWOS_72297553141,33.79,-118.052,10.668,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,185486
ASOSAWOS_72297603166,33.872,-117.986,26.2128,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,179617
ASOSAWOS_72297793184,33.68,-117.867,13.1064,1940-06-17 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,382938
ASOSAWOS_72317153144,34.988,-117.865,695.8584,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,159060
ASOSAWOS_72360023051,36.448,-103.154,1514.5512,1977-08-27 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,571581
ASOSAWOS_72362593057,35.165,-107.902,1987.296,1948-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,373054
ASOSAWOS_72362723081,35.509,-108.793,1970.2272,1973-01-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,ASOSAWOS,485722
ASOSAWOS_72364703034,35.145,-106.795,1779.1176,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,289476
ASOSAWOS_72365023050,35.042,-106.615,1618.488,1941-07-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,464734
ASOSAWOS_72365493091,35.883,-106.283,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,436286
ASOSAWOS_72365623049,35.611,-106.096,1916.2776,1946-08-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,376917
ASOSAWOS_72365823090,36.744,-108.229,1676.0952,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,399412
ASOSAWOS_72366303012,36.45,-105.667,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,349762
ASOSAWOS_72367593092,36.9,-106.583,2392.9848,2006-01-01 00:00:00+00:00,2012-09-30 00:00:00+00:00,ASOSAWOS,5472
ASOSAWOS_72367623048,35.181,-103.601,1230.7824,1946-08-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,358893
ASOSAWOS_72367723054,35.656,-105.139,2093.976,1946-08-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,441774
